0,1,2,3,4,5
7160356,3,0.0228585,99.8163,-24.5764,48.6284
7215378,1,0.06332,99.9945,-20.4221,9.03501
7215378,3,0.00102424,99.9945,-20.4221,9.03501
7263683,1,0.010876,99.898,41.2227,-73.5773
7263683,3,0.0459319,99.8973,41.2232,-73.5781
7361231,1,0.010876,99.9811,45.0392,-63.6088
7361231,3,0.0390702,99.9804,45.0388,-63.6088
7364188,1,0.00227,99.8315,-7.30084,55.0171
7364188,3,0.0654274,99.8303,-7.30189,55.0162
7413299,1,0.00925,99.0367,23.0965,-33.6764
7413299,3,0.0386847,99.036,23.0969,-33.6761
7464626,1,0.06332,99.404,-45.0773,13.0679
7464626,3,0.00324354,99.404,-45.0773,13.0679
7666177,1,0.00227,99.0432,18.7282,-43.363
7666177,3,0.0574935,99.0428,18.7294,-43.364
7667024,1,0.06332,99.9803,45.8854,30.2488
7667024,3,0.00324646,99.9803,45.8854,30.2489
7716467,1,0.06332,99.8294,-72.9623,-53.4491
7716467,3,0.00160837,99.8294,-72.9623,-53.4491
7717088,1,0.010876,98.2447,-43.0092,-15.6757
7717088,3,0.04711,98.2437,-43.0088,-15.6754
7767871,1,0.06332,99.7217,42.2179,-63.2584
7767871,3,0.00284142,99.7216,42.2178,-63.2584
7918718,1,0.010355,-99.9726,-12.4636,56.5273
7918718,4,0.0262976,-99.9725,-12.4635,56.5278
7968338,1,0.06332,99.7723,-74.7409,63.1276
7968338,3,0.00859027,99.7723,-74.741,63.1276
7969687,1,0.06332,99.7625,-2.48804,-65.7258
7969687,3,0.0391855,99.7622,-2.48843,-65.7264
8126634,1,0.00925,99.6865,78.478,-16.1689
8126634,3,0.0260875,99.6862,78.4778,-16.169
8170768,1,0.06332,99.6816,-42.457,-61.2698
8170768,4,0.0326509,99.6816,-42.4572,-61.2693
8170838,1,0.010876,99.9813,-22.3847,34.8857
8170838,3,0.0459062,99.9812,-22.3838,34.8851
8266546,1,0.010876,99.6461,-47.405,47.4584
8266546,3,0.100403,99.6436,-47.4057,47.461
8266705,1,0.010876,98.5922,67.3235,-4.29331
8266705,3,0.0364391,98.5925,67.3242,-4.2933
8267894,1,0.06332,99.5966,13.1061,56.9832
8267894,5,0.0197295,99.5964,13.1062,56.9833
8314003,1,0.06332,99.8237,-53.0578,60.8053
8314003,3,0.00805927,99.8237,-53.0578,60.8053
8368167,1,0.010876,99.5373,-35.9841,2.5223
8368167,3,0.043459,99.5372,-35.9844,2.52326
8466324,1,0.06332,99.9147,-0.429186,-59.79
8466324,3,0.0324015,99.9146,-0.428824,-59.7905
8509367,1,0.010876,99.5868,75.5088,-21.9939
8509367,2,0.047124,99.5863,75.5079,-21.9935
8509643,1,0.06332,99.4681,6.0251,-52.2827
8509643,4,0.0317527,99.4676,6.0248,-52.2828
8511899,1,0.002032,99.6242,69.8836,-68.4161
8511899,3,0.0535522,99.6243,69.8849,-68.4157
